+-----------------------------------------------------------------------+
| Index | Dimensions |  QueryType |       v |           l |           r |
|   166 |        100 |          1 |       5 |          -  |          -  |
|   167 |        100 |          2 |      -  |  0.30567491 |  0.39416039 |
|   168 |        100 |          3 |       5 |  0.17337075 |  0.82550281 |
|   169 |        100 |          0 |      -  |          -  |          -  |
|   170 |        100 |          1 |       7 |          -  |          -  |
|   171 |        100 |          2 |      -  |  0.42189410 |  0.82337493 |
|   172 |        100 |          3 |       5 |  0.53377086 |  0.66843784 |
|   173 |        100 |          0 |      -  |          -  |          -  |
|   174 |        100 |          1 |       0 |          -  |          -  |
|   175 |        100 |          2 |      -  |  0.27025068 |  0.56858200 |
|   176 |        100 |          3 |       0 |  0.06697600 |  0.24693200 |
|   177 |        100 |          0 |      -  |          -  |          -  |
|   178 |        100 |          1 |      15 |          -  |          -  |
|   179 |        100 |          2 |      -  |  0.01990099 |  0.49067223 |
|   180 |        100 |          3 |       5 |  0.47252697 |  0.54663277 |
|   181 |        100 |          0 |      -  |          -  |          -  |
|   182 |        100 |          1 |       5 |          -  |          -  |
|   183 |        100 |          2 |      -  |  0.50047952 |  0.52666020 |
|   184 |        100 |          3 |       0 |  0.50926626 |  0.80916876 |
|   185 |        100 |          0 |      -  |          -  |          -  |
|   186 |        100 |          1 |       5 |          -  |          -  |
|   187 |        100 |          2 |      -  |  0.20837548 |  0.46779022 |
|   188 |        100 |          3 |      11 |  0.24463372 |  0.96283114 |
|   189 |        100 |          0 |      -  |          -  |          -  |
|   190 |        100 |          1 |       0 |          -  |          -  |
|   191 |        100 |          2 |      -  |  0.04771135 |  0.84880030 |
|   192 |        100 |          3 |       0 |  0.16542609 |  0.39923096 |
|   193 |        100 |          0 |      -  |          -  |          -  |
|   194 |        100 |          1 |       5 |          -  |          -  |
|   195 |        100 |          2 |      -  |  0.35696226 |  0.49293825 |
|   196 |        100 |          3 |       5 |  0.39031613 |  0.75325960 |
|   197 |        100 |          0 |      -  |          -  |          -  |
|   198 |        100 |          1 |       4 |          -  |          -  |
|   199 |        100 |          2 |      -  |  0.03327319 |  0.94072258 |
|   200 |        100 |          3 |       0 |  0.31074548 |  0.54435164 |
|   201 |        100 |          0 |      -  |          -  |          -  |
|   202 |        100 |          1 |       5 |          -  |          -  |
|   203 |        100 |          2 |      -  |  0.10338248 |  0.22031467 |
|   204 |        100 |          3 |       0 |  0.12907809 |  0.70714766 |
|   205 |        100 |          0 |      -  |          -  |          -  |
|   206 |        100 |          1 |       5 |          -  |          -  |
|   207 |        100 |          2 |      -  |  0.45419011 |  0.73164320 |
|   208 |        100 |          3 |       5 |  0.71581340 |  0.86565268 |
|   209 |        100 |          0 |      -  |          -  |          -  |
|   210 |        100 |          1 |      16 |          -  |          -  |
|   211 |        100 |          2 |      -  |  0.32430223 |  0.79838425 |
|   212 |        100 |          3 |       2 |  0.14853334 |  0.65064055 |
|   213 |        100 |          0 |      -  |          -  |          -  |
|   214 |        100 |          1 |       0 |          -  |          -  |
|   215 |        100 |          2 |      -  |  0.33251008 |  0.97777450 |
|   216 |        100 |          3 |       5 |  0.40740958 |  0.98717135 |
|   217 |        100 |          0 |      -  |          -  |          -  |
|   218 |        100 |          1 |       7 |          -  |          -  |
|   219 |        100 |          2 |      -  |  0.71293527 |  0.76848537 |
|   220 |        100 |          3 |       9 |  0.79392684 |  0.88330078 |
|   221 |        100 |          0 |      -  |          -  |          -  |
|   222 |        100 |          1 |       2 |          -  |          -  |
|   223 |        100 |          2 |      -  |  0.13214281 |  0.84587777 |
|   224 |        100 |          3 |      11 |  0.55868495 |  0.81301099 |
|   225 |        100 |          0 |      -  |          -  |          -  |
|   226 |        100 |          1 |      12 |          -  |          -  |
|   227 |        100 |          2 |      -  |  0.89964998 |  0.97135562 |
|   228 |        100 |          3 |       4 |  0.59360796 |  0.84784627 |
|   229 |        100 |          0 |      -  |          -  |          -  |
|   230 |        100 |          1 |       5 |          -  |          -  |
|   231 |        100 |          2 |      -  |  0.52550954 |  0.87426597 |
|   232 |        100 |          3 |       2 |  0.65851861 |  0.89405000 |
|   233 |        100 |          0 |      -  |          -  |          -  |
|   234 |        100 |          1 |       0 |          -  |          -  |
|   235 |        100 |          2 |      -  |  0.24349517 |  0.72166955 |
|   236 |        100 |          3 |       5 |  0.39723924 |  0.39905849 |
|   237 |        100 |          0 |      -  |          -  |          -  |
|   238 |        100 |          1 |       6 |          -  |          -  |
|   239 |        100 |          2 |      -  |  0.16015889 |  0.60254395 |
|   240 |        100 |          3 |       0 |  0.18275349 |  0.21381916 |
|   241 |        100 |          0 |      -  |          -  |          -  |
|   242 |        100 |          1 |       5 |          -  |          -  |
|   243 |        100 |          2 |      -  |  0.04729889 |  0.10509283 |
|   244 |        100 |          3 |       0 |  0.05359875 |  0.81778002 |
|   245 |        100 |          0 |      -  |          -  |          -  |
|   246 |        100 |          1 |       2 |          -  |          -  |
|   247 |        100 |          2 |      -  |  0.12706824 |  0.49121580 |
|   248 |        100 |          3 |       0 |  0.26146796 |  0.45735162 |
|   249 |        100 |          0 |      -  |          -  |          -  |
|   250 |        100 |          1 |       4 |          -  |          -  |
|   251 |        100 |          2 |      -  |  0.68939978 |  0.96450317 |
|   252 |        100 |          3 |       0 |  0.32249707 |  0.52453238 |
|   253 |        100 |          0 |      -  |          -  |          -  |
|   254 |        100 |          1 |       4 |          -  |          -  |
|   255 |        100 |          2 |      -  |  0.16170891 |  0.84903729 |
|   256 |        100 |          3 |       6 |  0.10893609 |  0.52415317 |
|   257 |        100 |          0 |      -  |          -  |          -  |
|   258 |        100 |          1 |       4 |          -  |          -  |
|   259 |        100 |          2 |      -  |  0.22211175 |  0.64477128 |
|   260 |        100 |          3 |       5 |  0.00094795 |  0.04435417 |
|   261 |        100 |          0 |      -  |          -  |          -  |
|   262 |        100 |          1 |       5 |          -  |          -  |
|   263 |        100 |          2 |      -  |  0.44044274 |  0.56308991 |
|   264 |        100 |          3 |       5 |  0.34274194 |  0.53021401 |
|   265 |        100 |          0 |      -  |          -  |          -  |
|   266 |        100 |          1 |       0 |          -  |          -  |
|   267 |        100 |          2 |      -  |  0.20347133 |  0.21695244 |
|   268 |        100 |          3 |       5 |  0.54137671 |  0.81371188 |
|   269 |        100 |          0 |      -  |          -  |          -  |
|   270 |        100 |          1 |       0 |          -  |          -  |
|   271 |        100 |          2 |      -  |  0.07531497 |  0.59180081 |
|   272 |        100 |          3 |       7 |  0.07946176 |  0.59312695 |
|   273 |        100 |          0 |      -  |          -  |          -  |
|   274 |        100 |          1 |       5 |          -  |          -  |
|   275 |        100 |          2 |      -  |  0.74031800 |  0.85953432 |
|   276 |        100 |          3 |       0 |  0.69110912 |  0.96844423 |
|   277 |        100 |          0 |      -  |          -  |          -  |
|   278 |        100 |          2 |      -  |  0.47010565 |  0.79115760 |
|   279 |        100 |          3 |      11 |  0.10495467 |  0.59083974 |
|   280 |        100 |          0 |      -  |          -  |          -  |
|   281 |        100 |          1 |       0 |          -  |          -  |
|   282 |        100 |          2 |      -  |  0.01705914 |  0.91043144 |
|   283 |        100 |          3 |       5 |  0.06384371 |  0.11765323 |
|   284 |        100 |          0 |      -  |          -  |          -  |
|   285 |        100 |          1 |       5 |          -  |          -  |
|   286 |        100 |          2 |      -  |  0.09577566 |  0.85951012 |
|   287 |        100 |          3 |       4 |  0.33927989 |  0.80078137 |
|   288 |        100 |          0 |      -  |          -  |          -  |
|   289 |        100 |          1 |       2 |          -  |          -  |
|   290 |        100 |          2 |      -  |  0.40153024 |  0.80782747 |
|   291 |        100 |          3 |       5 |  0.42606106 |  0.47673729 |
|   292 |        100 |          0 |      -  |          -  |          -  |
|   293 |        100 |          1 |       0 |          -  |          -  |
|   294 |        100 |          2 |      -  |  0.29327789 |  0.59356862 |
|   295 |        100 |          3 |       5 |  0.16819835 |  0.95962322 |
|   296 |        100 |          0 |      -  |          -  |          -  |
|   297 |        100 |          1 |       0 |          -  |          -  |
|   298 |        100 |          2 |      -  |  0.46825412 |  0.47994322 |
|   299 |        100 |          3 |       4 |  0.76560622 |  0.95644552 |
|   300 |        100 |          0 |      -  |          -  |          -  |
|   301 |        100 |          1 |       0 |          -  |          -  |
|   302 |        100 |          2 |      -  |  0.15911110 |  0.31021300 |
|   303 |        100 |          3 |       0 |  0.56485671 |  0.73430455 |
|   304 |        100 |          0 |      -  |          -  |          -  |
|   305 |        100 |          1 |       0 |          -  |          -  |
|   306 |        100 |          2 |      -  |  0.07549448 |  0.36689261 |
|   307 |        100 |          3 |       4 |  0.62592310 |  0.78616571 |
|   308 |        100 |          0 |      -  |          -  |          -  |
|   309 |        100 |          1 |       5 |          -  |          -  |
|   310 |        100 |          2 |      -  |  0.12607691 |  0.30982071 |
|   311 |        100 |          3 |       5 |  0.06227555 |  0.21019071 |
|   312 |        100 |          0 |      -  |          -  |          -  |
|   313 |        100 |          1 |       5 |          -  |          -  |
|   314 |        100 |          2 |      -  |  0.00669215 |  0.03952768 |
|   315 |        100 |          3 |       5 |  0.34537706 |  0.68786991 |
|   316 |        100 |          0 |      -  |          -  |          -  |
|   317 |        100 |          1 |       5 |          -  |          -  |
|   318 |        100 |          2 |      -  |  0.36983731 |  0.49844545 |
|   319 |        100 |          3 |       5 |  0.12444421 |  0.18764150 |
|   320 |        100 |          0 |      -  |          -  |          -  |
|   321 |        100 |          1 |       5 |          -  |          -  |
|   322 |        100 |          2 |      -  |  0.48883179 |  0.84670973 |
|   323 |        100 |          3 |       0 |  0.14456505 |  0.74848658 |
|   324 |        100 |          0 |      -  |          -  |          -  |
|   325 |        100 |          1 |       4 |          -  |          -  |
|   326 |        100 |          2 |      -  |  0.57559079 |  0.95357746 |
|   327 |        100 |          3 |       5 |  0.38611084 |  0.81342947 |
|   328 |        100 |          0 |      -  |          -  |          -  |
|   329 |        100 |          1 |       7 |          -  |          -  |
|   330 |        100 |          2 |      -  |  0.80904770 |  0.91845071 |
|   331 |        100 |          3 |      14 |  0.20647049 |  0.77401978 |
|   332 |        100 |          0 |      -  |          -  |          -  |
|   333 |        100 |          1 |      18 |          -  |          -  |
|   334 |        100 |          2 |      -  |  0.27871972 |  0.80915964 |
|   335 |        100 |          3 |       0 |  0.39169168 |  0.51005286 |
|   336 |        100 |          0 |      -  |          -  |          -  |
|   337 |        100 |          1 |      11 |          -  |          -  |
|   338 |        100 |          2 |      -  |  0.32388672 |  0.93783438 |
|   339 |        100 |          3 |       5 |  0.17058438 |  0.94312274 |
|   340 |        100 |          0 |      -  |          -  |          -  |
|   341 |        100 |          1 |       5 |          -  |          -  |
|   342 |        100 |          2 |      -  |  0.69676858 |  0.94399303 |
|   343 |        100 |          3 |      11 |  0.16506507 |  0.40989342 |
|   344 |        100 |          0 |      -  |          -  |          -  |
|   345 |        100 |          1 |       0 |          -  |          -  |
|   346 |        100 |          2 |      -  |  0.14376533 |  0.52175909 |
|   347 |        100 |          3 |       0 |  0.01423242 |  0.61509323 |
|   348 |        100 |          0 |      -  |          -  |          -  |
|   349 |        100 |          1 |       5 |          -  |          -  |
|   350 |        100 |          2 |      -  |  0.60379446 |  0.81000876 |
|   351 |        100 |          3 |       5 |  0.62449414 |  0.70735544 |
|   352 |        100 |          0 |      -  |          -  |          -  |
|   353 |        100 |          1 |       5 |          -  |          -  |
|   354 |        100 |          2 |      -  |  0.54603982 |  0.73952639 |
|   355 |        100 |          3 |       5 |  0.78810298 |  0.83969891 |
|   356 |        100 |          0 |      -  |          -  |          -  |
|   357 |        100 |          1 |       5 |          -  |          -  |
|   358 |        100 |          2 |      -  |  0.84724826 |  0.93037176 |
|   359 |        100 |          3 |      11 |  0.40481278 |  0.81924224 |
|   360 |        100 |          0 |      -  |          -  |          -  |
|   361 |        100 |          1 |       0 |          -  |          -  |
|   362 |        100 |          2 |      -  |  0.44571400 |  0.58373612 |
|   363 |        100 |          3 |       7 |  0.59147406 |  0.79400951 |
|   364 |        100 |          0 |      -  |          -  |          -  |
|   365 |        100 |          1 |       5 |          -  |          -  |
|   366 |        100 |          2 |      -  |  0.32278752 |  0.69637430 |
|   367 |        100 |          3 |       5 |  0.11268151 |  0.79292542 |
|   368 |        100 |          0 |      -  |          -  |          -  |
|   369 |        100 |          1 |       2 |          -  |          -  |
|   370 |        100 |          2 |      -  |  0.05371169 |  0.68175560 |
|   371 |        100 |          3 |       0 |  0.54336941 |  0.69460142 |
|   372 |        100 |          0 |      -  |          -  |          -  |
|   373 |        100 |          1 |       0 |          -  |          -  |
|   374 |        100 |          2 |      -  |  0.17820431 |  0.56855774 |
|   375 |        100 |          3 |       5 |  0.76067686 |  0.76179826 |
|   376 |        100 |          0 |      -  |          -  |          -  |
|   377 |        100 |          1 |       4 |          -  |          -  |
|   378 |        100 |          2 |      -  |  0.45896015 |  0.99529958 |
|   379 |        100 |          3 |       5 |  0.55626261 |  0.85701722 |
|   380 |        100 |          0 |      -  |          -  |          -  |
|   381 |        100 |          1 |       4 |          -  |          -  |
|   382 |        100 |          2 |      -  |  0.30478042 |  0.45001608 |
|   383 |        100 |          3 |       0 |  0.49962637 |  0.92672616 |
|   384 |        100 |          0 |      -  |          -  |          -  |
|   385 |        100 |          1 |       0 |          -  |          -  |
|   386 |        100 |          2 |      -  |  0.55349439 |  0.65576857 |
|   387 |        100 |          3 |       0 |  0.48646796 |  0.54604888 |
|   388 |        100 |          0 |      -  |          -  |          -  |
|   389 |        100 |          1 |       5 |          -  |          -  |
|   390 |        100 |          2 |      -  |  0.65101570 |  0.68667793 |
|   391 |        100 |          3 |       5 |  0.02050808 |  0.07947185 |
|   392 |        100 |          0 |      -  |          -  |          -  |
|   393 |        100 |          1 |       4 |          -  |          -  |
|   394 |        100 |          2 |      -  |  0.16907673 |  0.38998234 |
|   395 |        100 |          3 |       5 |  0.09080192 |  0.77200592 |
|   396 |        100 |          0 |      -  |          -  |          -  |
|   397 |        100 |          1 |       0 |          -  |          -  |
|   398 |        100 |          2 |      -  |  0.56883007 |  0.86451918 |
|   399 |        100 |          3 |       5 |  0.39253879 |  0.61191660 |
|   400 |        100 |          0 |      -  |          -  |          -  |
|   401 |        100 |          1 |       2 |          -  |          -  |
|   402 |        100 |          2 |      -  |  0.03650935 |  0.59370881 |
|   403 |        100 |          3 |       4 |  0.06524044 |  0.89970440 |
|   404 |        100 |          0 |      -  |          -  |          -  |
|   405 |        100 |          1 |       5 |          -  |          -  |
|   406 |        100 |          2 |      -  |  0.24515913 |  0.65881312 |
|   407 |        100 |          3 |       5 |  0.39191154 |  0.60064602 |
|   408 |        100 |          0 |      -  |          -  |          -  |
|   409 |        100 |          1 |       5 |          -  |          -  |
|   410 |        100 |          2 |      -  |  0.33652073 |  0.59802198 |
|   411 |        100 |          3 |       4 |  0.40890512 |  0.86121547 |
|   412 |        100 |          0 |      -  |          -  |          -  |
|   413 |        100 |          1 |       0 |          -  |          -  |
|   414 |        100 |          2 |      -  |  0.33280960 |  0.79941088 |
|   415 |        100 |          3 |       0 |  0.50142246 |  0.67583394 |
|   416 |        100 |          0 |      -  |          -  |          -  |
|   417 |        100 |          1 |       5 |          -  |          -  |
|   418 |        100 |          2 |      -  |  0.38308144 |  0.52467048 |
|   419 |        100 |          3 |       0 |  0.74562454 |  0.87374961 |
|   420 |        100 |          0 |      -  |          -  |          -  |
|   421 |        100 |          1 |       5 |          -  |          -  |
|   422 |        100 |          2 |      -  |  0.12126655 |  0.16957188 |
|   423 |        100 |          3 |       6 |  0.05812674 |  0.66489917 |
|   424 |        100 |          0 |      -  |          -  |          -  |
|   425 |        100 |          1 |       2 |          -  |          -  |
|   426 |        100 |          2 |      -  |  0.74797928 |  0.88597822 |
|   427 |        100 |          3 |       0 |  0.44270372 |  0.70512170 |
|   428 |        100 |          0 |      -  |          -  |          -  |
|   429 |        100 |          1 |       7 |          -  |          -  |
|   430 |        100 |          2 |      -  |  0.00188381 |  0.49447817 |
|   431 |        100 |          3 |       0 |  0.24937248 |  0.71188140 |
|   432 |        100 |          0 |      -  |          -  |          -  |
|   433 |        100 |          1 |       5 |          -  |          -  |
|   434 |        100 |          2 |      -  |  0.66245162 |  0.86882126 |
|   435 |        100 |          0 |      -  |          -  |          -  |
|   436 |        100 |          1 |       0 |          -  |          -  |
|   437 |        100 |          2 |      -  |  0.44541043 |  0.96934581 |
|   438 |        100 |          3 |       4 |  0.19761418 |  0.27759126 |
|   439 |        100 |          0 |      -  |          -  |          -  |
|   440 |        100 |          1 |       5 |          -  |          -  |
|   441 |        100 |          2 |      -  |  0.05416954 |  0.82134491 |
|   442 |        100 |          3 |       0 |  0.07881332 |  0.78052843 |
|   443 |        100 |          0 |      -  |          -  |          -  |
|   444 |        100 |          1 |       5 |          -  |          -  |
|   445 |        100 |          2 |      -  |  0.06469183 |  0.99447465 |
|   446 |        100 |          3 |       2 |  0.75348955 |  0.91274482 |
|   447 |        100 |          0 |      -  |          -  |          -  |
|   448 |        100 |          1 |       0 |          -  |          -  |
|   449 |        100 |          2 |      -  |  0.24318154 |  0.84906250 |
|   450 |        100 |          3 |       5 |  0.59621990 |  0.78268957 |
|   451 |        100 |          0 |      -  |          -  |          -  |
|   452 |        100 |          1 |       5 |          -  |          -  |
|   453 |        100 |          2 |      -  |  0.92583668 |  0.95961714 |
|   454 |        100 |          3 |       0 |  0.31724703 |  0.72414327 |
|   455 |        100 |          0 |      -  |          -  |          -  |
|   456 |        100 |          1 |       5 |          -  |          -  |
|   457 |        100 |          2 |      -  |  0.38565403 |  0.92914748 |
|   458 |        100 |          3 |       5 |  0.54170245 |  0.63093013 |
|   459 |        100 |          0 |      -  |          -  |          -  |
|   460 |        100 |          1 |      18 |          -  |          -  |
|   461 |        100 |          2 |      -  |  0.02445823 |  0.62441444 |
|   462 |        100 |          3 |       2 |  0.41005981 |  0.66262305 |
